Term ID,Term name,Hierarchy role,Parent names,Full hierarchy path(s)
693,Accounting and Financial Reporting: Training Material,Root parent,,Accounting and Financial Reporting: Training Material
694,Dispute Settlement - Course Modules,Leaf child,Accounting and Financial Reporting: Training Material,Accounting and Financial Reporting: Training Material > Dispute Settlement - Course Modules
695,Investment Facilitation Compact - Training,Leaf child,Accounting and Financial Reporting: Training Material,Accounting and Financial Reporting: Training Material > Investment Facilitation Compact - Training
696,Trade Negotiations - Training Modules,Leaf child,Accounting and Financial Reporting: Training Material,Accounting and Financial Reporting: Training Material > Trade Negotiations - Training Modules
1777,All News Stories [PARENT DO NOT USE],Root parent,,All News Stories [PARENT DO NOT USE]
1780,Commentaries,Leaf child,All News Stories [PARENT DO NOT USE],All News Stories [PARENT DO NOT USE] > Commentaries
1778,Data stories,Leaf child,All News Stories [PARENT DO NOT USE],All News Stories [PARENT DO NOT USE] > Data stories
1779,Impact stories,Leaf child,All News Stories [PARENT DO NOT USE],All News Stories [PARENT DO NOT USE] > Impact stories
290,Factual Document,Root parent,,Factual Document
1928,WIR: Annex tables,Leaf child,Factual Document,Factual Document > WIR: Annex tables
1927,WIR: Country fact sheets,Leaf child,Factual Document,Factual Document > WIR: Country fact sheets
1929,WIR: Regional fact sheets,Leaf child,Factual Document,Factual Document > WIR: Regional fact sheets
1930,WIR: Regional trends,Leaf child,Factual Document,Factual Document > WIR: Regional trends
306,Meeting [DO NOT USE],Root parent,,Meeting [DO NOT USE]
308,Commission on Science and Technology for Development - Annual Sessions,Leaf child,Meeting [DO NOT USE],Meeting [DO NOT USE] > Commission on Science and Technology for Development - Annual Sessions
310,Commission on Science and Technology for Development - Inter-sessional Panels,Leaf child,Meeting [DO NOT USE],Meeting [DO NOT USE] > Commission on Science and Technology for Development - Inter-sessional Panels
314,Intergovernmental Forum on Mining,Leaf child,Meeting [DO NOT USE],Meeting [DO NOT USE] > Intergovernmental Forum on Mining
313,Joint Advisory Group on the International Trade Centre,Leaf child,Meeting [DO NOT USE],Meeting [DO NOT USE] > Joint Advisory Group on the International Trade Centre
315,Trade and Development Board,Child and parent,Meeting [DO NOT USE],Meeting [DO NOT USE] > Trade and Development Board
318,CI - Trade and Development Commission,Child and parent,Trade and Development Board,Meeting [DO NOT USE] > Trade and Development Board > CI - Trade and Development Commission
319,Commission on Trade and Development,Leaf child,CI - Trade and Development Commission,Meeting [DO NOT USE] > Trade and Development Board > CI - Trade and Development Commission > Commission on Trade and Development
1453,Intergovernmental Group of Experts on Competition Law and Policy,Leaf child,CI - Trade and Development Commission,Meeting [DO NOT USE] > Trade and Development Board > CI - Trade and Development Commission > Intergovernmental Group of Experts on Competition Law and Policy
1454,Intergovernmental Group of Experts on Consumer Protection Law and Policy,Leaf child,CI - Trade and Development Commission,Meeting [DO NOT USE] > Trade and Development Board > CI - Trade and Development Commission > Intergovernmental Group of Experts on Consumer Protection Law and Policy
1455,Multi-year Expert Meeting on Commodities and Development,Leaf child,CI - Trade and Development Commission,Meeting [DO NOT USE] > Trade and Development Board > CI - Trade and Development Commission > Multi-year Expert Meeting on Commodities and Development
