Term ID,Term name,Hierarchy role,Parent names,Full hierarchy path(s)
723,About UNCTAD,Root parent,,About UNCTAD
1433,COVID-19 response and recovery,Leaf child,About UNCTAD,About UNCTAD > COVID-19 response and recovery
1654,Delegates portal,Leaf child,About UNCTAD,About UNCTAD > Delegates portal
1660,"Global Crises: Food, Energy and Finance",Leaf child,About UNCTAD,"About UNCTAD > Global Crises: Food, Energy and Finance"
1893,Independent Evaluation Unit,Leaf child,About UNCTAD,About UNCTAD > Independent Evaluation Unit
1560,Media Centre,Leaf child,About UNCTAD,About UNCTAD > Media Centre
726,Office of the Secretary-General,Child and parent,About UNCTAD,About UNCTAD > Office of the Secretary-General
1636,Grynspan Commentary and Analysis,Leaf child,Office of the Secretary-General,About UNCTAD > Office of the Secretary-General > Grynspan Commentary and Analysis
1662,Grynspan News,Leaf child,Office of the Secretary-General,About UNCTAD > Office of the Secretary-General > Grynspan News
789,Moreno News,Leaf child,Office of the Secretary-General,About UNCTAD > Office of the Secretary-General > Moreno News
792,Office of the Deputy Secretary-General,Leaf child,Office of the Secretary-General,About UNCTAD > Office of the Secretary-General > Office of the Deputy Secretary-General
1837,Trade and Development Board,Leaf child,About UNCTAD,About UNCTAD > Trade and Development Board
724,UNCTAD and Civil Society,Leaf child,About UNCTAD,About UNCTAD > UNCTAD and Civil Society
1573,UNCTAD New York Office,Leaf child,About UNCTAD,About UNCTAD > UNCTAD New York Office
916,UNCTAD Regional Office for Africa,Leaf child,About UNCTAD,About UNCTAD > UNCTAD Regional Office for Africa
735,Africa,Root parent,,Africa
730,"Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE]",Child and parent,Africa,"Africa > Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE]"
733,Centers of Excellence in Africa and Asia,Leaf child,"Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE]","Africa > Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE] > Centers of Excellence in Africa and Asia"
1575,"EIF Project TJAU: Transit, transport in West Africa",Leaf child,"Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE]","Africa > Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE] > EIF Project TJAU: Transit, transport in West Africa"
736,Enhanced Integrated Framework,Leaf child,"Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE]","Africa > Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE] > Enhanced Integrated Framework"
737,Geographical Indications (GIs),Leaf child,"Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE]","Africa > Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE] > Geographical Indications (GIs)"
738,Landlocked Developing Countries,Leaf child,"Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE]","Africa > Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE] > Landlocked Developing Countries"
739,Least Developed Countries,Child and parent,"Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE]","Africa > Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE] > Least Developed Countries"
732,ASEAN LDCs: Trade Policy and Strategy Project,Leaf child,Least Developed Countries,"Africa > Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE] > Least Developed Countries > ASEAN LDCs: Trade Policy and Strategy Project"
734,Duty-Free Quota Free Market Access for LDCs,Leaf child,Least Developed Countries,"Africa > Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE] > Least Developed Countries > Duty-Free Quota Free Market Access for LDCs"
1434,LDC graduation support package,Leaf child,Least Developed Countries,"Africa > Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE] > Least Developed Countries > LDC graduation support package"
1608,On the road to LDC5,Child and parent,Least Developed Countries,"Africa > Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE] > Least Developed Countries > On the road to LDC5"
1609,LDC5: Intergovernmental support,Leaf child,On the road to LDC5,"Africa > Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE] > Least Developed Countries > On the road to LDC5 > LDC5: Intergovernmental support"
1610,LDC5: Support to LDC graduation,Leaf child,On the road to LDC5,"Africa > Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE] > Least Developed Countries > On the road to LDC5 > LDC5: Support to LDC graduation"
1903,Productive capacities,Leaf child,Least Developed Countries,"Africa > Africa, LDCs, LLDCs and Special Programmes [PARENT - DO NOT USE] > Least Developed Countries > Productive capacities"
